country_code,country_name,transaction_type_name,fiscal_year,current_amount,,radius,latitude,longitude
KOR,Korea Republic,Disbursements,2016,15,,5.64197E-06,,
COL,Colombia,Disbursements,2016,2861,,0.001076112,,
ATG,Antigua and Barbuda,Disbursements,2016,3780,,0.001421777,,
BRB,Barbados,Disbursements,2016,4593,,,,
GNQ,Equatorial Guinea,Disbursements,2016,5171,,,,
PRK,"Korea, Democratic Republic",Disbursements,2016,6026,,,,
POL,Poland,Disbursements,2016,6345,,,,
QAT,Qatar,Disbursements,2016,19334,,,,
RUS,Russia,Disbursements,2016,22867,,,,
GAB,Gabon,Disbursements,2016,41318,,,,
KAZ,Kazakhstan,Disbursements,2016,103602,,,,
THA,Thailand,Disbursements,2016,139414,,,,
LKA,Sri Lanka,Disbursements,2016,144057,,,,
FSM,Micronesia (Federated States),Disbursements,2016,153230,,,,
TKM,Turkmenistan,Disbursements,2016,252479,,,,
MNG,Mongolia,Disbursements,2016,292108,,,,
ALB,Albania,Disbursements,2016,297711,,,,
COG,Congo (Brazzaville),Disbursements,2016,327396,,,,
WSM,Samoa,Disbursements,2016,335704,,,,
SDF,Sudan (former),Disbursements,2016,344989,,,,
SOM,Somalia,Disbursements,2016,366611,,,,
MDA,Moldova,Disbursements,2016,453683,,,,
MEX,Mexico,Disbursements,2016,555271,,0.208854903,19.20N,99.10W
GMB,Gambia,Disbursements,2016,564620,,0.212371356,,
FJI,Fiji,Disbursements,2016,650255,,,,
YEM,Yemen,Disbursements,2016,765585,,,,
ECU,Ecuador,Disbursements,2016,857418,,,,
TGO,Togo,Disbursements,2016,883366,,,,
VUT,Vanuatu,Disbursements,2016,1038951,> 1 million,,,
PAN,Panama,Disbursements,2016,1064424,,,,
NER,Niger,Disbursements,2016,1150724,,,,
CHN,China (P.R.C.),Disbursements,2016,1164167,,,,
BLZ,Belize,Disbursements,2016,1258162,,,,
PRY,Paraguay,Disbursements,2016,1377086,,,,
DJI,Djibouti,Disbursements,2016,1377725,,0.518205743,,
